"","ds","y"
"1","1/22/2020",0
"2","1/23/2020",0
"3","1/24/2020",0.75682846
"4","1/25/2020",0.75682846
"5","1/26/2020",1.981395125
"6","1/27/2020",1.981395125
"7","1/28/2020",1.981395125
"8","1/29/2020",2.26033832
"9","1/30/2020",2.26033832
"10","1/31/2020",2.727171322
"11","2/1/2020",2.727171322
"12","2/2/2020",2.727171322
"13","2/3/2020",3.284641147
"14","2/4/2020",3.284641147
"15","2/5/2020",3.284641147
"16","2/6/2020",3.444838873
"17","2/7/2020",3.444838873
"18","2/8/2020",3.444838873
"19","2/9/2020",3.444838873
"20","2/10/2020",3.444838873
"21","2/11/2020",3.595315688
"22","2/12/2020",3.595315688
"23","2/13/2020",3.737345681
"24","2/14/2020",3.737345681
"25","2/15/2020",3.737345681
"26","2/16/2020",3.737345681
"27","2/17/2020",3.737345681
"28","2/18/2020",3.737345681
"29","2/19/2020",3.737345681
"30","2/20/2020",3.737345681
"31","2/21/2020",4
"32","2/22/2020",4
"33","2/23/2020",4
"34","2/24/2020",4
"35","2/25/2020",4
"36","2/26/2020",4
"37","2/27/2020",4.122172739
"38","2/28/2020",4.122172739
"39","2/29/2020",4.94427191
"40","3/1/2020",5.51365692
"41","3/2/2020",6.893079261
"42","3/3/2020",7.731888351
"43","3/4/2020",8.864885811
"44","3/5/2020",10.73209284
"45","3/6/2020",11.69448531
"46","3/7/2020",13.92199092
"47","3/8/2020",15.09201781
"48","3/9/2020",15.74724901
"49","3/10/2020",17.15249882
"50","3/11/2020",19.27827775
"51","3/12/2020",21.24269891
"52","3/13/2020",23.45360096
"53","3/14/2020",25.54888955
"54","3/15/2020",26.11298969
"55","3/16/2020",29.08249478
"56","3/17/2020",31.93259557
"57","3/18/2020",35.14177215
"58","3/19/2020",39.2460562
"59","3/20/2020",43.58611268
"60","3/21/2020",46.80514274
"61","3/22/2020",50.65454248
"62","3/23/2020",54.60737166
"63","3/24/2020",57.72369637
"64","3/25/2020",60.77605331
"65","3/26/2020",64.6207976
"66","3/27/2020",68.05429384
"67","3/28/2020",71.19701493
"68","3/29/2020",73.89038599
"69","3/30/2020",76.72277091
"70","3/31/2020",79.75010182
"71","4/1/2020",82.43785742
"72","4/2/2020",85.3034898
"73","4/3/2020",88.04730467
"74","4/4/2020",90.64459667
"75","4/5/2020",92.70494311
"76","4/6/2020",94.77292656
"77","4/7/2020",96.79601291
"78","4/8/2020",98.75047614
"79","4/9/2020",100.7326071
"80","4/10/2020",102.5501961
"81","4/11/2020",104.0680655
"82","4/12/2020",105.4083741
"83","4/13/2020",106.6483785
"84","4/14/2020",107.9738429
"85","4/15/2020",109.3243124
"86","4/16/2020",110.6806419
"87","4/17/2020",112.0424549
"88","4/18/2020",113.1697312
"89","4/19/2020",114.1786943
"90","4/20/2020",115.2656194
"91","4/21/2020",116.2368166
"92","4/22/2020",117.3018824
"93","4/23/2020",118.4746526
"94","4/24/2020",119.6338756
"95","4/25/2020",120.6895047
"96","4/26/2020",121.5664223
"97","4/27/2020",122.3093584
"98","4/28/2020",123.0853977
"99","4/29/2020",123.9438412
"100","4/30/2020",124.8355333
"101","5/1/2020",125.8482534
"102","5/2/2020",126.6523746
"103","5/3/2020",127.3486183
"104","5/4/2020",128.0040625
"105","5/5/2020",128.6808044
"106","5/6/2020",129.3629721
"107","5/7/2020",130.1051269
"108","5/8/2020",130.8093849
"109","5/9/2020",131.4564231
"110","5/10/2020",131.9397626
"111","5/11/2020",132.4320151
"112","5/12/2020",133.0011541
"113","5/13/2020",133.5199478
"114","5/14/2020",134.1834447
"115","5/15/2020",134.791988
"116","5/16/2020",135.3633438
"117","5/17/2020",135.794393
"118","5/18/2020",136.3066528
"119","5/19/2020",136.7919945
"120","5/20/2020",137.3179034
"121","5/21/2020",137.900831
"122","5/22/2020",138.4201125
"123","5/23/2020",138.8853586
"124","5/24/2020",139.3209579
"125","5/25/2020",139.7181594
"126","5/26/2020",140.1356963
"127","5/27/2020",140.5301795
"128","5/28/2020",141.0125259
"129","5/29/2020",141.5189222
"130","5/30/2020",142.0110612
"131","5/31/2020",142.4008976
"132","6/1/2020",142.7449493
"133","6/2/2020",143.1762368
"134","6/3/2020",143.5762341
"135","6/4/2020",143.9999013
