ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0.75682846
2020-01-25,0.75682846
2020-01-26,1.981395125
2020-01-27,1.981395125
2020-01-28,1.981395125
2020-01-29,2.26033832
2020-01-30,2.26033832
2020-01-31,2.727171322
2020-02-01,2.727171322
2020-02-02,2.727171322
2020-02-03,3.284641147
2020-02-04,3.284641147
2020-02-05,3.284641147
2020-02-06,3.444838873
2020-02-07,3.444838873
2020-02-08,3.444838873
2020-02-09,3.444838873
2020-02-10,3.444838873
2020-02-11,3.595315688
2020-02-12,3.595315688
2020-02-13,3.737345681
2020-02-14,3.737345681
2020-02-15,3.737345681
2020-02-16,3.737345681
2020-02-17,3.737345681
2020-02-18,3.737345681
2020-02-19,3.737345681
2020-02-20,3.737345681
2020-02-21,4
2020-02-22,4
2020-02-23,4
2020-02-24,4
2020-02-25,4
2020-02-26,4
2020-02-27,4.122172739
2020-02-28,4.122172739
2020-02-29,4.94427191
2020-03-01,5.51365692
2020-03-02,6.893079261
2020-03-03,7.731888351
2020-03-04,8.864885811
2020-03-05,10.73209284
2020-03-06,11.69448531
2020-03-07,13.92199092
2020-03-08,15.09201781
2020-03-09,15.74724901
2020-03-10,17.15249882
2020-03-11,19.27827775
2020-03-12,21.24269891
2020-03-13,23.45360096
2020-03-14,25.54888955
2020-03-15,26.11298969
2020-03-16,29.08249478
2020-03-17,31.93259557
2020-03-18,35.14177215
2020-03-19,39.2460562
2020-03-20,43.58611268
2020-03-21,46.80514274
2020-03-22,50.65454248
2020-03-23,54.60737166
2020-03-24,57.72369637
2020-03-25,60.77605331
2020-03-26,64.6207976
2020-03-27,68.05429384
2020-03-28,71.19701493
2020-03-29,73.89038599
2020-03-30,76.72277091
2020-03-31,79.75010182
2020-04-01,82.43785742
2020-04-02,85.3034898
2020-04-03,88.04730467
2020-04-04,90.64459667
2020-04-05,92.70494311
2020-04-06,94.77292656
2020-04-07,96.79601291
2020-04-08,98.75047614
2020-04-09,100.7326071
2020-04-10,102.5501961
2020-04-11,104.0680655
2020-04-12,105.4083741
2020-04-13,106.6483785
2020-04-14,107.9738429
2020-04-15,109.3243124
2020-04-16,110.6806419
2020-04-17,112.0424549
2020-04-18,113.1697312
2020-04-19,114.1786943
2020-04-20,115.2656194
2020-04-21,116.2368166
2020-04-22,117.3018824
2020-04-23,118.4746526
2020-04-24,119.6338756
2020-04-25,120.6895047
2020-04-26,121.5664223
2020-04-27,122.3093584
2020-04-28,123.0853977
2020-04-29,123.9438412
2020-04-30,124.8355333
2020-05-01,125.8482534
2020-05-02,126.6523746
2020-05-03,127.3486183
2020-05-04,128.0040625
2020-05-05,128.6808044
2020-05-06,129.3629721
2020-05-07,130.1051269
2020-05-08,130.8093849
2020-05-09,131.4564231
2020-05-10,131.9397626
2020-05-11,132.4320151
2020-05-12,133.0011541
2020-05-13,133.5199478
2020-05-14,134.1834447
2020-05-15,134.791988
2020-05-16,135.3633438
2020-05-17,135.794393
2020-05-18,136.3066528
2020-05-19,136.7919945
2020-05-20,137.3179034
2020-05-21,137.900831
2020-05-22,138.4201125
2020-05-23,138.8853586
2020-05-24,139.3209579
2020-05-25,139.7181594
2020-05-26,140.1356963
2020-05-27,140.5301795
2020-05-28,141.0125259
2020-05-29,141.5189222
2020-05-30,142.0110612
2020-05-31,142.4008976
2020-06-01,142.7449493
2020-06-02,143.1762368
2020-06-03,143.5762341
2020-06-04,143.9999013
2020-06-05,144.497828
2020-06-06,144.914417
2020-06-07,145.2555452
2020-06-08,145.5911002
2020-06-09,145.9409132
2020-06-10,146.3371031
2020-06-11,146.7692481
2020-06-12,147.2323586
2020-06-13,147.6977437
2020-06-14,148.0452306
2020-06-15,148.3982535
2020-06-16,148.8248692
2020-06-17,149.2978156
2020-06-18,149.7905004
2020-06-19,150.3327393
